Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities
Palestine,West Bank,Hebron,PSE,PS0150,PS01,July,2025,69,4
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,July,2025,45,6
Palestine,West Bank,Jericho,PSE,PS0135,PS01,July,2025,14,0
Palestine,West Bank,Ramallah,PSE,PS0130,PS01,July,2025,88,4
Palestine,Gaza Strip,Khan Younis,PSE,PS0270,PS02,July,2025,290,690
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,July,2025,86,481
Palestine,West Bank,Tubas,PSE,PS0105,PS01,July,2025,25,1
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,July,2025,16,0
Palestine,West Bank,Salfit,PSE,PS0125,PS01,July,2025,18,0
Palestine,Gaza Strip,Deir Al-Balah,PSE,PS0265,PS02,July,2025,164,394
